name	slug	count	level	parent_name	parent_slug	path	name_raw												
Brennan Johnson	brennan-johnson	2	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/brennan-johnson	— Brennan Johnson												
Brentford	brentford-replica-football-shirt	27	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/brentford-replica-football-shirt	— Brentford												
Bristol Replica Football Shirts & Kit	bristol	6	1	Other Clubs	other-clubs	other-clubs/bristol	— Bristol Replica Football Shirts & Kit												
Bronze	bronze	1	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/bronze	— Bronze												
Bruno Miguel Borges Fernandes	bruno-fernandes-8	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/bruno-fernandes-8	— Bruno Miguel Borges Fernandes												
Bukayo Ayoyinka Temidayo Saka	saka-7-replica-football-shirt	16	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/saka-7-replica-football-shirt	— Bukayo Ayoyinka Temidayo Saka												
Bundesliga	bundesliga-replica-football-shirt	43	0			bundesliga-replica-football-shirt	Bundesliga												
Burnley	burnley-replica-football-shirt	22	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/burnley-replica-football-shirt	— Burnley												
CA Penarol	ca-penarol	0	1	Other Clubs	other-clubs	other-clubs/ca-penarol	— CA Penarol												
Cameroon	cameroon	1	2	AFRICA / MIDDLE EAST	africa-middle-east	international-teams/africa-middle-east/cameroon	— — Cameroon												
Camisa Flamengo	camisa-flamengo	7	1	Other Clubs	other-clubs	other-clubs/camisa-flamengo	— Camisa Flamengo												
Camiseta Colo Colo	camiseta-colo-colo-world-cup-replica-shirt	2	0			camiseta-colo-colo-world-cup-replica-shirt	Camiseta Colo Colo												
Cardiff City	cardiff-city	8	1	Other Clubs	other-clubs	other-clubs/cardiff-city	— Cardiff City												
Carlos Henrique Casimiro	casemiro-18	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/casemiro-18	— Carlos Henrique Casimiro												
Celebrate Malick Thiaw’s	celebrate-malick-thiaws	0	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/celebrate-malick-thiaws	— Celebrate Malick Thiaw’s												
Celta Vigo	celta-vigo	1	1	Other Clubs	other-clubs	other-clubs/celta-vigo	— Celta Vigo												
Celtic	celtic	0	1	Other Clubs	other-clubs	other-clubs/celtic	— Celtic												
Charlotte Replica Football Shirts and Kits	charlotte	1	1	Other Clubs	other-clubs	other-clubs/charlotte	— Charlotte Replica Football Shirts and Kits												
Chelsea	chelsea-replica-football-shirt	59	1	Premier League	premier-league-replica-football-shirt	premier-league-replica-football-shirt/chelsea-replica-football-shirt	— Chelsea												
Chicago Fire	chicago-fire	1	1	Other Clubs	other-clubs	other-clubs/chicago-fire	— Chicago Fire												
Chile	chile	1	2	SOUTH AMERICA	south-america	international-teams/south-america/chile	— — Chile												
Cole Jermaine Palmer	palmer-20	6	1	Players	famous-replica-football-players-printed	famous-replica-football-players-printed/palmer-20	— Cole Jermaine Palmer												
Colombia	colombia	6	2	SOUTH AMERICA	south-america	international-teams/south-america/colombia	— — Colombia												
Como	como	2	1	Other Clubs	other-clubs	other-clubs/como	— Como												
